meeting_key,session_key,driver_number,lap_number,date_start,lap_duration,duration_sector_1,duration_sector_2,duration_sector_3,st_speed,i1_speed,i2_speed,segments_sector_1,segments_sector_2,segments_sector_3,is_pit_out_lap,tire_compound,laps_on_tire
1273,9869,1,2,2025-11-09T17:04:41.604000+00:00,120.413,21.32,75.859,23.234,271.0,120.0,199.0,"[2049, 2049, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,HARD,1.0
1273,9869,1,3,2025-11-09T17:06:41.982000+00:00,109.007,21.675,58.682,28.65,258.0,167.0,197.0,"[2048, 2048, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",False,HARD,2.0
1273,9869,1,4,2025-11-09T17:08:30.947000+00:00,106.62,25.318,59.748,21.554,237.0,236.0,221.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,HARD,3.0
1273,9869,1,5,2025-11-09T17:10:17.731000+00:00,107.889,30.078,50.463,27.348,247.0,250.0,229.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,HARD,4.0
1273,9869,1,6,2025-11-09T17:12:05.735000+00:00,78.495,20.374,40.996,17.125,290.0,317.0,249.0,"[2049, 2049, 2048, 2048, 2048, 2048, 2049]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049]",False,HARD,5.0
1273,9869,1,7,2025-11-09T17:13:24.001000+00:00,107.461,34.453,45.325,27.683,287.0,157.0,178.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064, 2064]",False,HARD,6.0
1273,9869,1,8,2025-11-09T17:15:11.647000+00:00,104.348,37.366,49.826,17.156,,287.0,178.0,"[2064, 2064, 2064, 2064, 2064, 2064, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2049, 2048, 2049, 2049]",True,MEDIUM,0.0
1273,9869,1,9,2025-11-09T17:16:55.948000+00:00,73.141,18.886,37.345,16.91,310.0,313.0,252.0,"[2049, 2051, 2051, 2049, 2049, 2048, 2048]","[2051, 2049, 2049, 2049, 2049, 2049, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,1.0
1273,9869,1,10,2025-11-09T17:18:09.018000+00:00,73.049,18.826,37.385,16.838,309.0,,254.0,"[2048, 2049, 2051, 2048, 2048, 2048, 2048]","[2051, 2048, 2049, 2048, 2048, 2049, 2048, 2049]","[2049, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,2.0
1273,9869,1,11,2025-11-09T17:19:22.122000+00:00,73.735,,38.06,16.849,311.0,315.0,254.0,"[None, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049]",False,MEDIUM,3.0
1273,9869,1,12,2025-11-09T17:20:35.823000+00:00,74.816,18.756,39.077,16.983,317.0,332.0,248.0,"[2049, 2048, 2048, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2051, 2049, 2048, 2048]",False,MEDIUM,4.0
1273,9869,1,13,2025-11-09T17:21:50.775000+00:00,75.065,18.894,39.13,17.041,327.0,330.0,249.0,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048]",False,MEDIUM,5.0
1273,9869,1,14,2025-11-09T17:23:05.768000+00:00,75.081,18.939,39.121,17.021,325.0,317.0,252.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049]",False,MEDIUM,6.0
1273,9869,1,15,2025-11-09T17:24:20.871000+00:00,75.354,18.97,39.334,17.05,319.0,329.0,250.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049]",False,MEDIUM,7.0
1273,9869,1,16,2025-11-09T17:25:36.104000+00:00,75.725,19.265,39.45,17.01,324.0,332.0,250.0,"[2051, 2048, 2048, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049]",False,MEDIUM,8.0
1273,9869,1,17,2025-11-09T17:26:51.867000+00:00,75.809,19.193,39.654,16.962,335.0,330.0,250.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2051, 2049, 2048, 2048]",False,MEDIUM,9.0
1273,9869,1,18,2025-11-09T17:28:07.566000+00:00,75.048,19.075,38.831,17.142,315.0,314.0,254.0,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,10.0
1273,9869,1,19,2025-11-09T17:29:22.725000+00:00,75.17,19.017,38.986,17.167,309.0,327.0,255.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,11.0
1273,9869,1,20,2025-11-09T17:30:37.826000+00:00,75.162,18.968,39.047,17.147,316.0,328.0,248.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,12.0
1273,9869,1,21,2025-11-09T17:31:53.074000+00:00,74.829,,38.683,17.178,318.0,312.0,256.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,13.0
1273,9869,1,22,2025-11-09T17:33:07.851000+00:00,74.948,19.159,38.608,17.181,309.0,311.0,255.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]",False,MEDIUM,14.0
1273,9869,1,23,2025-11-09T17:34:22.954000+00:00,74.727,19.096,38.472,17.159,307.0,,256.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,15.0
1273,9869,1,24,2025-11-09T17:35:37.488000+00:00,74.769,18.994,38.611,17.164,309.0,312.0,256.0,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,16.0
1273,9869,1,25,2025-11-09T17:36:52.370000+00:00,74.828,19.019,38.63,17.179,306.0,311.0,256.0,"[None, 2048, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,17.0
1273,9869,1,26,2025-11-09T17:38:07.231000+00:00,75.193,19.298,38.717,17.178,304.0,310.0,256.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,18.0
1273,9869,1,27,2025-11-09T17:39:22.380000+00:00,74.912,19.078,38.538,17.296,308.0,311.0,255.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,19.0
1273,9869,1,28,2025-11-09T17:40:37.231000+00:00,75.306,19.07,38.898,17.338,306.0,,254.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,20.0
1273,9869,1,29,2025-11-09T17:41:52.553000+00:00,75.165,19.136,38.79,17.239,309.0,,255.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,21.0
1273,9869,1,30,2025-11-09T17:43:07.732000+00:00,74.965,,38.62,17.209,308.0,312.0,255.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,22.0
1273,9869,1,31,2025-11-09T17:44:22.654000+00:00,75.164,19.161,38.783,17.22,307.0,,254.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,23.0
1273,9869,1,32,2025-11-09T17:45:37.754000+00:00,75.33,19.078,38.937,17.315,,311.0,252.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,24.0
1273,9869,1,33,2025-11-09T17:46:53.357000+00:00,76.145,19.64,39.271,17.234,285.0,325.0,253.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",False,MEDIUM,25.0
1273,9869,1,34,2025-11-09T17:48:09.286000+00:00,79.344,19.175,38.975,21.194,308.0,312.0,253.0,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064, 2064]",False,MEDIUM,26.0
1273,9869,1,35,2025-11-09T17:49:28.709000+00:00,91.337,36.894,37.657,16.786,,304.0,254.0,"[2064, 2064, 2064, 2064, 2064, 2064, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2051]","[2048, 2048, 2048, 2048, 2048, 2048]",True,MEDIUM,0.0
1273,9869,1,36,2025-11-09T17:51:00.081000+00:00,73.307,18.622,37.78,16.905,326.0,317.0,243.0,"[2048, 2049, 2048, 2049, 2049, 2048, 2048]","[2048, 2049, 2051, 2048, 2048, 2048, 2048, 2048]","[2048, 2051, 2048, 2048, 2048, 2048]",False,MEDIUM,1.0
1273,9869,1,37,2025-11-09T17:52:13.296000+00:00,74.006,18.594,38.588,16.824,323.0,331.0,247.0,"[None, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2051, 2051, 2048, 2048, 2048]",False,MEDIUM,2.0
1273,9869,1,38,2025-11-09T17:53:27.316000+00:00,73.659,18.814,,16.959,324.0,312.0,,"[None, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[None, None, 2048, 2048, 2048, 2048]",False,MEDIUM,3.0
